New York	New York	1	8405837
Los Angeles	California	2	3884307
Chicago	Illinois	3	2718782
Houston	Texas	4	2195914
Philadelphia	Pennsylvania	5	1553165
Phoenix	Arizona	6	1513367
San Antonio	Texas	7	1409019
San Diego	California	8	1355896
Dallas	Texas	9	1257676
San Jose	California	10	998537
Austin	Texas	11	885400
Indianapolis	Indiana	12	843393
Jacksonville	Florida	13	842583
San Francisco	California	14	837442
Columbus	Ohio	15	822553
Charlotte	North Carolina	16	792862
Fort Worth	Texas	17	792727
Detroit	Michigan	18	688701
El Paso	Texas	19	674433
Memphis	Tennessee	20	653450
Seattle	Washington	21	652405
Denver	Colorado	22	649495
Washington	District of Columbia	23	646449
Boston	Massachusetts	24	645966
Nashville-Davidson	Tennessee	25	634464
Baltimore	Maryland	26	622104
Oklahoma City	Oklahoma	27	610613
Louisville/Jefferson County	Kentucky	28	609893
Portland	Oregon	29	609456
Las Vegas	Nevada	30	603488
Milwaukee	Wisconsin	31	599164
Albuquerque	New Mexico	32	556495
Tucson	Arizona	33	526116
Fresno	California	34	509924
Sacramento	California	35	479686
Long Beach	California	36	469428
Kansas City	Missouri	37	467007
Mesa	Arizona	38	457587
Virginia Beach	Virginia	39	448479
Atlanta	Georgia	40	447841
Colorado Springs	Colorado	41	439886
Omaha	Nebraska	42	434353
Raleigh	North Carolina	43	431746
Miami	Florida	44	417650
Oakland	California	45	406253
Minneapolis	Minnesota	46	400070
Tulsa	Oklahoma	47	398121
Cleveland	Ohio	48	390113
Wichita	Kansas	49	386552
Arlington	Texas	50	379577
New Orleans	Louisiana	51	378715
Bakersfield	California	52	363630
Tampa	Florida	53	352957
Honolulu	Hawaii	54	347884
Aurora	Colorado	55	345803
Anaheim	California	56	345012
Santa Ana	California	57	334227
St. Louis	Missouri	58	318416
Riverside	California	59	316619
Corpus Christi	Texas	60	316381
Lexington-Fayette	Kentucky	61	308428
Pittsburgh	Pennsylvania	62	305841
Anchorage	Alaska	63	300950
Stockton	California	64	298118
Cincinnati	Ohio	65	297517
St. Paul	Minnesota	66	294873
Toledo	Ohio	67	282313
Greensboro	North Carolina	68	279639
Newark	New Jersey	69	278427
Plano	Texas	70	274409
Henderson	Nevada	71	270811
Lincoln	Nebraska	72	268738
Buffalo	New York	73	258959
Jersey City	New Jersey	74	257342
Chula Vista	California	75	256780
Fort Wayne	Indiana	76	256496
Orlando	Florida	77	255483
St. Petersburg	Florida	78	249688
Chandler	Arizona	79	249146
Laredo	Texas	80	248142
Norfolk	Virginia	81	246139
Durham	North Carolina	82	245475
Madison	Wisconsin	83	243344
Lubbock	Texas	84	239538
Irvine	California	85	236716
Winston-Salem	North Carolina	86	236441
Glendale	Arizona	87	234632
Garland	Texas	88	234566
Hialeah	Florida	89	233394
Reno	Nevada	90	233294
Chesapeake	Virginia	91	230571
Gilbert	Arizona	92	229972
Baton Rouge	Louisiana	93	229426
Irving	Texas	94	228653
Scottsdale	Arizona	95	226918
North Las Vegas	Nevada	96	226877
Fremont	California	97	224922
Boise City	Idaho	98	214237
Richmond	Virginia	99	214114
San Bernardino	California	100	213708
Birmingham	Alabama	101	212113
Spokane	Washington	102	210721
Rochester	New York	103	210358
Des Moines	Iowa	104	207510
Modesto	California	105	204933
Fayetteville	North Carolina	106	204408
Tacoma	Washington	107	203446
Oxnard	California	108	203007
Fontana	California	109	203003
Columbus	Georgia	110	202824
Montgomery	Alabama	111	201332
Moreno Valley	California	112	201175
Shreveport	Louisiana	113	200327
Aurora	Illinois	114	199963
Yonkers	New York	115	199766
Akron	Ohio	116	198100
Huntington Beach	California	117	197575
Little Rock	Arkansas	118	197357
Augusta-Richmond County	Georgia	119	197350
Amarillo	Texas	120	196429
Glendale	California	121	196021
Mobile	Alabama	122	194899
